,FR,ES,IT,PT,UK
valeur_1771,"Lunch Box L",,"Cofanetto chiusura a maniglia L","Lunch Box L","Takeaway box (Medium)"
valeur_1772,"Boîte produit basse S","Caja producto baja S","Scatola classica Mod. A S","Caixa produto baixa S","Short product box (Small)"
valeur_1773,"Boîte produit basse M","Caja producto baja M","Scatola classica Mod. A M","Caixa produto baixa M","Short product box (Medium)"
valeur_1774,"Boîte produit basse L","Caja producto baja L","Scatola classica Mod. A L","Caixa produto baixa L","Short product box (Large)"
valeur_1775,"Boîte produit haute S","Caja producto alta S","Scatola classica Mod. B S","Caixa produto alta S","Tall product box (Small)"
valeur_1776,"Boîte produit haute M","Caja producto alta M","Scatola classica Mod. A M","Caixa produto alta M","Tall product box (Medium)"
valeur_1777,"Boîte produit haute L","Caja producto alta L","Scatola classica Mod. A L","Caixa produto alta L","Tall product box (Large)"
valeur_1778,"Boîte mise en rayon S","Caja expositor S","Astuccio appendibile S","Caixa expositor S","Hanging retail box (Small)"
valeur_1779,"Boîte mise en rayon M","Caja expositor M","Astuccio appendibile M","Caixa expositor M","Hanging retail box (Medium)"
valeur_1780,"Boîte mise en rayon L","Caja expositor L","Astuccio appendibile L","Caixa expositor L","Hanging retail box (Large)"
valeur_1781,Urne,Urna,"Astuccio urna",Urna,"Ballot box"
valeur_1782,"Boîte cartes de visite","Caja tarjeta de visita","Scatola biglietti da visita/card","Caixa cartões de visita","Business card box"
valeur_1783,"240g papier couleur bleu lagon","240 gr. papel color azul","240g carta colorata blu","240 gr. papel cor azul","240gsm Blue lagoon paper"
valeur_1784,"240g papier couleur fuchsia","240 gr. papel color fucsia","240g carta colorata fucsia","240 gr. papel cor fúcsia","240gsm Fuchsia paper"
valeur_1785,"240g papier couleur noir","240 gr. papel color negro","240g carta colorata nera","240 gr. papel cor preto","240gsm Black paper"
valeur_1786,"240g papier couleur rouge","240 gr. papel color rojo","240g carta colorata rossa","240 gr. papel cor vermelho","240gsm Red paper"
valeur_1787,"240g papier couleur turquoise","240 gr. papel color turquesa","240g carta colorata turchese","240 gr. papel cor turquesa","240gsm Turquoise paper"
valeur_1788,"240g papier couleur vert","240 gr. papel color verde","240g carta colorata verde","240 gr. papel cor verde","240gsm Green paper"
valeur_1789,"250g Chromolux noir","250 gr. Chromolux negro","250g Chromolux nera","250 gr. Chromolux preto","250gsm Chromolux black"
valeur_1790,"250g Chromolux rouge","250 gr. Chromolux rojo","250g Chromolux rossa","250 gr. Chromolux vermelho","250gsm Chromolux red"
valeur_1791,"270g papier blanc","270g papel blanco","270g cartoncino bianco","270g papel branco","270gsm white uncoated"
valeur_1792,"300g papier kraft brun","300 gr. papel kraft marrón","300g carta kraft marrone","300 gr. papel kraft marrom","300gsm Kraft brown board"
valeur_1793,"300g PET transparent","300 gr. PET transparente","300g PET trasparente","300 gr. PET transparente","300gsm transparent PET"
valeur_1794,"300g papier perlé gaufré","300 gr. Papel perlado gofrado","300gr carta perlata e goffrata","300 gr. Papel perolado relevo","300gsm embossed pearlescent board"
valeur_1795,"336g carton micro cannelure kraft brun","336 gr. cartón microcanal kraft marrón","336g cartoncino semplice microonda kraft marrone","336 gr. papel cartão microcanal kraft marrom","336gsm Brown Kraft corrugated board"
valeur_1796,"275g carton graphique blanc couché 1 face","275 gr. folding blanco estucado 1 cara","275g cartoncino monopatinato","275 gr. cartão gráfico branco couché 1 face","275gsm white gloss coated cardboard (1 face)"
valeur_1797,"391g carton micro cannelure blanc","391gr. cartón micro canal blanco","391g cartoncino semplice microonda bianco","391gr. Papelão micro canal branco","391gsm White corrugated board"
valeur_1798,"7 x 11,5 x 3 cm","7 x 11,5 x 3 cm","7 x 11,5 x 3 cm","7 x 11,5 x 3 cm",70x115x30mm
valeur_1799,"7 x 23 x 4 cm","7 x 23 x 4 cm","7 x 23 x 4 cm","7 x 23 x 4 cm","70x 230x40mm"
valeur_1800,"13,95 x 23 x 4 cm","13,95 x 23 x 4 cm","13,95 x 23 x 4 cm","13,95 x 23 x 4 cm","139.5 x 230 x 40mm"
valeur_1801,"20 x 33 x 5,5 cm","20 x 33 x 5,5 cm","20 x 33 x 5,5 cm","20 x 33 x 5,5 cm","200 x 330 x 55mm"
valeur_1802,"30 x 49,5 x 8,4 cm","30 x 49,5 x 8,4 cm","30 x 49,5 x 8,4 cm","30 x 49,5 x 8,4 cm","300 x 495 x 84mm"
valeur_1803,"11,7 x 5,5 x 3,9 cm","11,7 x 5,5 x 3,9 cm","11,7 x 5,5 x 3,9 cm","11,7 x 5,5 x 3,9 cm","117 x 55 x 39 mm"
valeur_1804,"23 x 11 x 6,5 cm","23 x 11 x 6,5 cm","23 x 11 x 6,5 cm","23 x 11 x 6,5 cm","230 x 110 x 65 mm"
valeur_1805,"35 x 16 x 9,5 cm","35 x 16 x 9,5 cm","35 x 16 x 9,5 cm","35 x 16 x 9,5 cm","350 x 160 x 95 mm"
valeur_1806,"31 x 9 x 9 x cm","31 x 9 x 9 x cm","31 x 9 x 9 x cm","31 x 9 x 9 x cm","310 x 90 x 90 mm"
valeur_1807,"31 x 18,1 x 9 cm","31 x 18,1 x 9 cm","31 x 18,1 x 9 cm","31 x 18,1 x 9 cm","310 x 181 x 90 mm"
valeur_1808,"31 x 27,2 x 9 cm","31 x 27,2 x 9 cm","31 x 18,1 x 9 cm","31 x 27,2 x 9 cm","310 x 272 x 90 mm"
valeur_1809,"Polypropylène sans colle micro-ventouse","Polipropileno sin cola micro-ventosa","Polipropilene senza colla con micro-ventose","Polipropileno sem cola micro-ventosa","Polypropylene micro-suction without glue"
valeur_1810,"Polyester sans colle micro-ventouse","Poliester sin cola micro-ventosa","Poliestere senza colla con micro-ventose","Poliéster sem cola micro-ventosa","Polyester micro-suction without glue"
valeur_1811,"Non pré-encollé","No pre-encolado","Non pre-incollato","Não pré-colado","Non glued"
valeur_1812,Pré-encollé,"Pre encolado",Pre-incollato,Pré-colado,"Pre-glued (peel & seal)"
valeur_1813,"15,5 x 10,5 x 1 cm",,"15,5 x 10,5 x 1 cm",,155x105x10mm
valeur_1814,"21,5 x 15,5 x 1 cm","21,5 x 15,5 x 1 cm","21,5 x 15,5 x 1 cm","21,5 x 15,5 x 1 cm","215 x 155 x 10 mm"
valeur_1815,"30,5 x 21,5 x 1 cm","30,5 x 21,5 x 1 cm","30,5 x 21,5 x 1 cm","30,5 x 21,5 x 1 cm","305 x 215 x 10 mm"
valeur_1816,"13 x 13 x 3,2 cm","13 x 13 x 3,2 cm","13 x 13 x 3,2 cm","13 x 13 x 3,2 cm","130 x 130 x 32 mm"
valeur_1817,"20 x 20 x 6,1 cm","20 x 20 x 6,1 cm","20 x 20 x 6,1 cm","20 x 20 x 6,1 cm","200 x 200 x 61 mm "
valeur_1818,"25 x 25 x 7,5 cm","25 x 25 x 7,5 cm","25 x 25 x 7,5 cm","25 x 25 x 7,5 cm","250 x 250 x 75 mm "
valeur_1819,"20 x 11 x 3,5 cm","20 x 11 x 3,5 cm","20 x 11 x 3,5 cm","20 x 11 x 3,5 cm","200 x 110 x 35 mm"
valeur_1820,"30 x 16,5 x 5,3 cm","30 x 16,5 x 5,3 cm","30 x 16,5 x 5,3 cm","30 x 16,5 x 5,3 cm","300 x 165 x 53 mm"
valeur_1821,"40 x 22 x 6,9 cm","40 x 22 x 6,9 cm","40 x 22 x 6,9 cm","40 x 22 x 6,9 cm","400 x 220 x 69 mm"
valeur_1822,"9,3 x 6 x 10,5 cm","9,3 x 6 x 10,5 cm","9,3 x 6 x 10,5 cm","9,3 x 6 x 10,5 cm","93 x 60 x 105 mm "
valeur_1823,"15,5 x 10 x 17,5 cm","15,5 x 10 x 17,5 cm","15,5 x 10 x 17,5 cm","15,5 x 10 x 17,5 cm","155 x 100 x 175 mm"
valeur_1824,"23,3 x 15 x 25 cm","23,3 x 15 x 25 cm","23,3 x 15 x 25 cm","23,3 x 15 x 25 cm","233 x 150 x 250 mm"
valeur_1825,"15 x 14,7 x 9,2 cm","15 x 14,7 x 9,2 cm","15 x 14,7 x 9,2 cm","15 x 14,7 x 9,2 cm","150 x 147 x 92 mm"
valeur_1826,"20 x 19,5 x 12 cm","20 x 19,5 x 12 cm","20 x 19,5 x 12 cm","20 x 19,5 x 12 cm","200 x 195 x 120 mm"
valeur_1827,"25 x 24,4 x 15,3 cm","25 x 24,4 x 15,3 cm","25 x 24,4 x 15,3 cm","25 x 24,4 x 15,3 cm","250 x 244 x 153 mm"
valeur_1828,"7 x 7 x 5,5 cm","7 x 7 x 5,5 cm","7 x 7 x 5,5 cm","7 x 7 x 5,5 cm","70 x 70 x 55 mm "
valeur_1829,"11 x 11 x 8,6 cm","11 x 11 x 8,6 cm","11 x 11 x 8,6 cm","11 x 11 x 8,6 cm","110 x 110 x 86 mm"
valeur_1830,"15 x 15 x 11,6 cm","15 x 15 x 11,6 cm","15 x 15 x 11,6 cm","15 x 15 x 11,6 cm","150 x 150 x 116 mm"
valeur_1831,"10 x 5,3 x 3,9 cm","10 x 5,3 x 3,9 cm","10 x 5,3 x 3,9 cm","10 x 5,3 x 3,9 cm","100 x 53 x 39 mm"
valeur_1832,"14 x 7 x 5,5 cm","14 x 7 x 5,5 cm","14 x 7 x 5,5 cm","14 x 7 x 5,5 cm","140 x 70 x 55 mm"
valeur_1833,"20 x 10 x 7,8 cm","20 x 10 x 7,8 cm","20 x 10 x 7,8 cm","20 x 10 x 7,8 cm","200 x 100 x 78 mm"
valeur_1834,"10 x 5 x 3,9 cm","10 x 5 x 3,9 cm","10 x 5 x 3,9 cm","10 x 5 x 3,9 cm","100 x 50 x 39 mm"
valeur_1835,"15 x 15 x 15 cm","15 x 15 x 15 cm","15 x 15 x 15 cm","15 x 15 x 15 cm",150x150x150mm
valeur_1836,"3 x 9 x 5,5 cm","3 x 9 x 5,5 cm","3 x 9 x 5,5 cm","3 x 9 x 5,5 cm",30x90x55mm
valeur_1838,"Vinyle transparent DG Floor Wood Grain 3 mm","Vinilo transparente DG Suelo madera Grano 3mm.","PVC trasparente DG Floor Wood Grain 3 mm","Vinil transparente DC Chão Madeira Grão 3 mm","Transparent vinyl G Floor Wood Grain 3mm"
valeur_1839,"Revêtement PVC non adhésif","Revestimiento PVC no adhesivo","Rivestimento in PVC non adesivo","Revestimento PVC não adesivo","Non-adhesive PVC coating"
valeur_1840,"Mât à gauche","Mástil a la izquierda","Montante a sinistra","Mastro à esquerda","To the right of the pole"
valeur_1841,"Mât à droite","Mástil a la derecha","Montante a destra","Mastro à direita","To the left of the pole"
valeur_1842,Sans,Sin,Senza,Sem,No
valeur_1843,"Feutre pour tableau blanc","Marcador blanco","Pennarello per lavagna bianca","Marcador branco"
valeur_1844,Bronze,Bronce,Bronzo,Bronze
valeur_1845,Printbox,,Printbox,
valeur_1846,"250µ PVC blanc mat","250µ PVC blanco mate","250µ PVC bianco opaco","250µ PVC branco mate","250µ PVC white matt"
valeur_1847,"Total UV brillant",,"UV lucida totale ","Total UV brilhante"
valeur_1853,"3ème demande","3er. pedido","3ª richiesta","3ª encomenda","3rd order"
valeur_1854,"240g papier couleur violet",,"240g carta colorata viola","240g papel cor violeta","240gsm Violet paper"
valeur_1855,"240g papier couleur bouton d'or",,"240g carta colorata gialla oro","240g papel cor ouro viejo","240gsm Buttercup yellow paper"
valeur_1856,"240g papier couleur orange",,"240g carta colorata arancione","240g papel cor laranja","240gsm Orange paper"
valeur_1857,"240g papier couleur gris taupe",,"240g carta colorata grigia scuro","240g papel cor cinza","240gsm Fabric grey paper"
valeur_1859,"Chemise 2 volets - Simple Rainage - Petite quantité - Avec encoches carte de visite ","Carpetas dípticas - Hendido Simples - Pequeñas cantidades","Cartelline 2 ante - Cordonatura semplice - Piccole quantità","Pastas dípticas - Vinco Simples - Pequenas quantidades","4pp folder non capacity - small quantities - with b/card slits"
valeur_1860,"Chemise 2 volets - Double Rainage - Petite quantité - Avec encoches carte de visite ","Carpetas dípticas - Hendido Doble - Pequeñas cantidades","Cartelline 2 ante - Doppia cordonatura - Piccole quantità","Pastas dípticas - Vinco Duplo - Pequenas quantidades","4pp folder with capacity - small quantities - with b/card slits"
valeur_1862,"500g toile Expolit M2","500 gr. lienzo Expolit M2","500g tessuto Expolit M2","500g quadro Expolit M2","500gsm M2 canvas fabric"
valeur_1863,"250g satiné blanc","250 gr. satinado blanco","250g satinata bianca","250 gr. acetinado branco"
valeur_1865,"1800g papier couché blanc brillant 1 face contrecollé sur carton alvéolaire tranche kraft brun","1800 gr. papel estucado blanco brillante 1 cara cotnracolada sobre cartón alveolar kraft marrón","1800g supporto in cartone alveolare kraft 
accoppiato a carta bianca patinata lucida su un lato","1800g papel couché branco brilhante 1 face contracolada sobre cartão alveolar kraft marrom","1800gsm white gloss coated cardboard mounted onto brown Kraft corrugated cardboard"
valeur_1866,"2200g papier couché blanc brillant 1 face contrecollé sur carton alvéolaire tranche blanche","1200 gr. papel estucado blanco brillante 1 cara cotnracolada sobre cartón alveolar blanco","2200g supporto in cartone alveolare bianco  
accoppiato a carta bianca patinata lucida su un lato","2200g papel couché branco brilhante 1 face contracolada sobre cartão alveolar branco","2200gsm white gloss coated cardboard mounted onto brown Kraft corrugated cardboard"
valeur_1867,"1200g papier couché blanc brillant 1 face contrecollé sur carton alvéolaire tranche kraft brun","1200 gr. papel estucado blanco brillante 1 cara cotnracolada sobre cartón alveolar kraft marrón","1200g supporto in cartone alveolare kraft  
accoppiato a carta bianca patinata lucida su un lato","1200g papel couché branco brilhante 1 face contracolado sobre cartão alveolar kraft marrom","1200gsm white gloss coated cardboard mounted onto brown Kraft corrugated cardboard"
valeur_1868,"900g carton blanc contrecollé sur carton kraft triple micro cannelure","Cartón de 900 gr. blanco contracolado sobre carton triple canal kraft","900g supporto in cartone tripla onda kraft
accoppiato a cartoncino bianco","900g cartão branco contracolado sobre cartão kraft triplo microcanelado","900gsm white cardboard mounted onto corrugated Kraft cardboard"
valeur_1869,"680g carton blanc contrecollé sur carton cannelure kraft","Cartón de 680 gr. blanco contracolado sobre carton kraft","680g supporto in cartone ondulato kraft
accoppiato ad un cartoncino bianco ","680g cartão branco contracolado sobre cartão kraft triplo microcanelado","680gsm white cardboard mounted onto Kraft corrugated cardboard"
valeur_1870,"350g carton graphique blanc couché 1 face","350 gr. cartón gráfico blanco estucado 1 cara","350g cartoncino monopatinato bianco lucido da un lato","350g cartão gráfico branco couché 1 face","350gsm white gloss coated cardboard (1 face)"
valeur_1871,"Module haut","Módulo alto","Modulo alto","Módulo alto","Top Stack"
valeur_1872,"Module central","Módulo central","Modulo centrale","Módulo central","Middle Stack"
valeur_1873,"Module bas","Módulo bajo","Modulo basso","Módulo baixo","Bottom Stack"
valeur_1874,"Recharge comptoir",Recarga,"Riordino banco d'accoglienza",Recarga
valeur_1875,Complète,Completa,Completo,Completo,"Complete set"
valeur_1876,"Monomère mat colle Ultra enlevable","Monómero mate encolado ultra reposicionable","Monomerico opaco colla ultra removibile","Monómero mate cola ultra removível","Matt monomer, ultra removable"
valeur_1877,"135g couché brillant HP","135 gr. estucado brillante HP","135g patinata lucida HP","135g couché brilhante HP","135gsm gloss coated HP"
valeur_1878,"170g couché brillant HP","170 gr. estucado brillante HP","170g patinata lucido HP","170g couché brilhante HP","170gsm gloss coated HP"
valeur_1879,"170g couché mat HP","170 gr. estucado mate HP","170g patinata opaca HP","170g couché mate HP","170gsm matt coated HP"
valeur_1880,"2 plis décalés (accordéon)","2 pliegues desplazados (acordeón)","2 pieghe decentrate (a fisarmonica)","2 dobras desdobrável (acordeão)","2 off centre concertina folds"
valeur_1881,"2 plis décalés (roulé)","2 pliegues desplazados (envolvente)","2 pieghe decentrate (avvolte)","2 dobras deslocadas (envolvente)","2 off centre roll folds"
valeur_1882,"2 rainages décalés (accordéon)","2 pliegues desplazados (acordeón)","2 cordonature decentrate (a fisarmonica)","2 dobras deslocadas (acordeão)","2 off centre concertina folds"
valeur_1883,"2 rainages décalés (roulé)","2 pliegues desplazados (envolvente)","2 cordonature decentrate (avvolte)","2 dobras deslocadas (envolvente)","2 off centre roll folds"
valeur_1884,"UK 100gsm Premium Smooth","UK 100gsm Premium Smooth","UK 100gsm Premium Smooth","UK 100gsm Premium Smooth","100gsm Premium Smooth"
valeur_1889,"400g couché demi-mat","400g estucado semi-mate","400g patinata opaca","400g couché semi-mate","400gsm Silk Coated"
valeur_1890,"Lettrage et découpe complexe mi-chair","Letra y troquelado complejo a la forma","Lettere fustellate complesse con mezzo taglio ","Letra pré-cortada","Kiss cut (lettering and complex shapes)"
valeur_1893,"Mousse des bois et lichen des rennes","Mouse de madera y líquen de renos","Muschio del legno e lichene delle renne","Musgo dos bosques e líquen de renas"
valeur_1894,Thermorelief,termorelieve,Termorilievo,Termorelevo,"Thermo printing"
valeur_1895,"Noir + 1 couleur","Negro + 1 color ","Nero+1 colore","Negro + 1 cor","Black + one Pantone colour"
valeur_1896,Sans,Sin,Senza,Sem,No
valeur_1897,Thermorelief,Termorelieve,Con,Termorelevo,"Thermo printing"
valeur_1898,"300g carte graphique couché 1 face","300 gr. cartón gráfico estucado 1 cara","300g cartoncino monopatinato","300g cartão gráfico couché 1 face"
valeur_1899,Classique,Clásico,Classico,Clássico,Classic
valeur_1900,Échantillon,Muestra,Campioni,Amostras,Sample
valeur_1904,"170g pour pelliculage","170 gr. para plastificado","170g per plastificazione","170 gr. para plastificado"
valeur_1905,"Taurine, Taurine Cola, Taurine Pomme, Taurine Lemon, Taurine Orange, Vivifruits, Thé vert, Raisin","Taurina, Cola, Manzana, Limón, Naranja, Multifrutas, Té verde, Uva","Taurina, Cola, Mela, Limone, Arancia, Vivifruits, Thé verde, Uva","Taurina, Cola, Maçã, Limão, Laranja, Multifrutas, Chá Verde, Uva"
valeur_1906,"Vitrophanie fond blanc","Vitrofanía fondo blanco","Vetrofania su fondo bianco","Espelhado fundo branco","White window sticker"
valeur_1907,"Vitrophanie fond transparent","Vitrofania fondo transparente","Vetrofania su fondo trasparente","Espelhado fundo transparente","Transparent window sticker"
valeur_1908,"Sans découpe. Coupé au format de l'amalgame","Sin troquelado. Cortado a la forma del pliego","Senza fustella. Taglio al formato del foglio macchina","Sem cortante. Cortado na forma do plano","Cut to the format"
valeur_1909,Démonstrateur,Demostración,Dimostratore,Demostração,Demo
valeur_1914,Bleu,Azul,Blu,Azul,Blue
valeur_1915,Sans,Sin,Senza,Sem
valeur_1916,"Avec picto P","Con picto P","Con picto P","Com picto P"
valeur_1917,"260g semi-mat BAT Fogra","260 gr. semi-mate Prueba Fogra","260g semi-opaca Prova colore Fogra","260 gr. semi-mate Prova Fogra"
valeur_1918,J+0,"1 día","1 giorno","1 dia",Exarush
valeur_1919,"Forex 3 mm","Forex 3mm","Forex 3 mm","Forex 3mm","Forex 3mm"
valeur_1920,"1100g carton compact blanc",,"1100g cartoncino compatto bianco","1100g cartão compacto branco"
valeur_1921,"240g papier couleur bleu lagon, fuchsia, violet, rouge, noir, bouton d'or, gris taupe","240 gr. papel color azul, fucsia, violeta, rojo, negro, oro viejo, gris","240g carta colorata blu, fucsia, viola, rossa, nera, gialla, grigia","240g papel cor azul, fúcsia, violeta, vermelho, preto, botão de ouro, cinza","240gsm coloured paper: blue lagoon, fuchsia, violet, red, black, buttercup yellow, fabric grey"
valeur_1922,"120g papier couleur fuchsia","120 gr. papel color fucsia","120g carta colorata fucsia","120g papel cor fúcsia","120gsm fuschia coloured paper"
valeur_1923,"120g papier couleur bonton d'or","120 gr. papel color oro viejo","120g carta colorata gialla","120g papel cor botão de ouro","120gsm buttercup yellow coloured paper"
valeur_1924,"120g papier couleur gris taupe","120 gr. papel color gris","120g carta colorata grigia","120g papel cor cinza","120gsm fabric grey coloured paper"
valeur_1925,"120g papier couleur noir","120 gr. papel color negro","120g carta colorata nera","120g papel cor preto","120gsm black coloured paper"
valeur_1926,"120g papier couleur rouge","120 gr. papel color rojo","120g carta colorata rossa","120g papel cor vermelho","120gsm red coloured paper"
valeur_1927,"120g papier couleur violet","120 gr. papel color violeta","120g carta colorata viola","120g papel cor violeta","120gsm violet coloured paper"
valeur_1928,"185g tissu polyester","185 gr. tela poliéster","185g tessuto poliestere","185g tecido poliéster"
valeur_1929,"Pompe 12V","Bomba de 12V","Pompa 12V","Bomba 12V"
valeur_1930,"Sac de transport","Saco de transporte","Sacca di trasporto","Saco de transporte"
valeur_1931,Sans,Sin,Senza,Sem
valeur_1932,"1 fauteuil + 1 table basse","1 sillón + 1 mesa baja","1 poltrona + 1 tavolino basso","1 poltrona + 1 mesa baixa"
valeur_1933,"2 fauteuils + 1 table basse","2 sillónes + 1 mesa baja","2 poltrone + 1 tavolino basso","2 poltronas + 1 mesa baixa"
valeur_1934,"2 poufs + 1 table basse","2 pufs + 1 mesa baja","2 pouf + 1 tavolino basso","2 pufs + 1 mesa baixa"
valeur_1935,"1 transat + 1 table basse","1 hamaca + 1 mesa baja","1 sdraio + 1 tavolino basso","1 espreguiçadeira + 1 mesa baixa"
valeur_1936,"Structure gonflable","Estructura hinchable","Struttura gonfiabile","Estrutura inflável"
valeur_1937,Brillant,Brillante,Lucida,Brilhante,"Gloss varnished"
valeur_1938,Sans,Sin,Senza,Sem
valeur_1939,"De 1 à 4 coins ronds","De 1 a 4 cantos redondos","Da 1 a 4 angoli arrotondati","De 1 a 4 cantos redondos","1-4 round corners"
valeur_1940,Sans,Sin,Senza,Sem
valeur_1941,"Or à chaud","Oro en caliente","Oro a caldo","Ouro quente",Gold
valeur_1942,"Argent à chaud","Plata en caliente","Argento a caldo","Prata quente",Silver
valeur_1943,"1 perforation de 4 mm côté piqûre (brochure)","1 perforación de 4mm lado del grapado","1 perforazione di 4 mm lato rilegatura ","1 perfuração de 4mm lado do agrafado"
valeur_1944,"1 perforation de 4 mm côté opposé à la piqûre (brochure)","1 perforación de 4mm lado opuesto a el grapado","1 perforazione di 4 mm opposta al lato rilegatura ","1 perfuração de 4mm lado oposto ao agrafado"
valeur_1945,"Doming : vinyle autocollant + résine polyuréthane bi-composante + colle Thermoscellable","Doming: vinilo autoadhesivo + resina poliuretano bi-compuesta + cola termosellable","Etichette resinate: PVC adesivo + poliuretano bicomponente + colla termotrasferimento","Gota de resina: autocolante + resina poliuretano bicomposta + cola termoselável"
valeur_1946,"Doming : vinyle miroir autocollant + résine polyuréthane + colle acqueuse pour usage intérieur","Doming: vinilo espejo autoadhesivo + resina poliuretano + cola acrílica para uso interior","Etichette resinate: PVC adesivo sfondo a specchio + resina in poliuretano + colla acquosa per uso in","Gota de resina: autocolante espelhado + resina poliuretano + cola aquosa para uso interior"
valeur_1947,"Doming : vinyle miroir autocollant + résine polyuréthane + colle acrylique pour usage extérieur","Doming: vinilo espejo autoadhesivo + resina poliuretano + cola acrílica para uso exterior","Etichette resinate: PVC adesivo sfondo a specchio + resina in poliuretano + colla acrilica per uso e","Gota de resina: autocolante espelhado + resina poliuretano + cola acrílica para uso exterior"
valeur_1949,"270g tissu polyester ignifugé M1","270 gr. tela poliéster ignífuga M1","270g tessuto poliestere ignifugo m1","270g tecido poliéster ignífugo M1","270gsm M1 fire retardant polyester"
valeur_1950,"PETG transparent 2 mm",,"PETG trasparente 2 mm","PETG transparente 2mm"
valeur_1951,"760µ PVC blanc","760µ PVC blanco","760µ PVC bianco","760µ PVC branco","760µ White PVC"
valeur_1952,"Thermo sélectif or","Termo selectivo dorado","Lamina a caldo","Termolocalizado dourado"
valeur_1953,"Thermo sélectif argent","Termo selectivo plateado","Lamina argento","Termolocalizado prateado"
valeur_1954,Sans,Sin,Senza,Sem
valeur_1955,LO-CO,LO-CO,LO-CO,LO-CO,Lo-Co
valeur_1956,"HI-CO 2750","HI-CO 2750","HI-CO 2750","HI-CO 2750","Hi-Co (2750 Oersted)"
valeur_1957,"Texturé tissé recto","Textura tela 1 cara","Effetto tessuto fronte","Textura tecido 1 face","Snake skin effect"
valeur_1958,"Sur le recto","Sobre el recto","Sul fronte","Sobre a frente","On the front"
valeur_1959,"Sur le verso","Sobre el dorso","Sul retro","Sobre o verso","On the reverse"
valeur_1960,"Perlé nacré recto","Perlado nacarado 1 cara","Effetto perlato fronte","Perolado nacarado 1 face","Gloss pearlescent - front"
valeur_1961,"760µ PVC translucide","760µ PVC trasparente","760µ PVC trasparente","760µ PVC trasparente","760µ Transparent PVC"
valeur_1962,"Perlé nacré recto verso","Perlado nacarado 2 caras","Effetto perlato fronte/retro","Perolado nacarado 2 faces","Gloss pearlescent - both sides"
valeur_1963,"Champ texte et/ou code à barres et/ou numérotation recto","Campo texto y/o código de barras y/o numeración 1 cara","Dati variabili testi e/o codice a barre e/o numerazione fronte","Campo texto e/ou código de barras e/ou numeração frente","Text / Bar-code / Numbering - front"
valeur_1964,"Champ texte et/ou code à barres et/ou numérotation verso","Campo texto y/o código de barras y/o numeración dorso","Dati variabili testi e/o codice a barre e/o numerazione retro","Campo texto e/ou código de barras e/ou numeração verso","Text / Bar-code / Numbering - reverse"
valeur_1965,"PVC + 1 finition","PVC + 1 acabado","PVC + 1 finitura","PVC + 1 acabamento","PVC + 1 finish"
valeur_1967,Sans,Sin,Senza,Sem
valeur_1968,Avec,Con,Con,Com
valeur_1980,"Bois épicéa 19 mm",,,,"Spruce Wood - 19mm thick"
valeur_1982,"Plexy opaque couleur 3 mm",,,,"Coloured Plexi - 3mm thick"
valeur_1983,"Aluminium miroir 3 mm",,,,"Mirror Aluminium - 3mm thick"
valeur_1984,"Aluminium argent brossé 3 mm",,,,"Brushed Silver Aluminium - 3mm thick"
valeur_1985,"Aluminium or brossé 3 mm",,,,"Brushed Gold Aluminium - 3mm thick"
valeur_1989,"en données variables",,,,"With variable data"
valeur_1990,"Adhésif contrecollé sur rouleau PVC gris",,,
valeur_1991,"5 plis accordéon + 2 plis roulés",,,
valeur_1992,"5 + 2 plis accordéon",,,
valeur_1993,"Tissu 100% coton - Fil belcoro®",,"Tessuto 100% cotone - Filato Belcoro®",
valeur_1994,"Tissu 100% coton - 130g ",,"Tessuto 100% cotone - 130g ",
valeur_1995,"Tissu 65% polyester 35% coton - 190g",,"Tessuto 65% poliestere 35% cotone - 190g",
valeur_1997,"Tissu 65% polyester 35% coton",,"Tessuto 65% poliestere 35% cotone",
valeur_1998,Small,,Small,
valeur_2000,Medium,,Medium,
valeur_2001,Large,,Large,
valeur_2002,"Extra Large",,"Extra Large",
valeur_2003,"Extra extra Large",,"Extra extra Large",
valeur_2005,"Face avant jusqu'au A5",,"Davanti fino al formato A5",
valeur_2006,"Face avant jusqu'au A3",,"Davanti fino al formato A3",
valeur_2007,"Face arrière jusqu'au A3",,"Dietro fino al formato A3",
valeur_2008,"Face avant jusqu'au A5 / Face arrière jusqu'au A3",,"Davanti fino al formato A5 / Dietro fino al formato A3",
valeur_2009,"Face avant jusqu'au A3 / Face arrière jusqu'au A3",,"Davanti fino al formato A3 / Dietro fino al formato A3",
valeur_2010,"Sans emballage individuel",,"Senza imballaggio individuale",
valeur_2011,"Avec emballage individuel",,"Con imballaggio individuale",
valeur_2012,"Face avant jusqu'au A4",,"Davanti fino al formato A4",
valeur_2013,"Face arrière jusqu'au A4",,"Dietro fino al formato A4",
valeur_2014,"Face avant jusqu'au A4 / Face arrière jusqu'au A4",,"Davanti fino al formato A4 / Dietro fino al formato A4",
valeur_2015,"Face avant jusqu'au A5 / Face arrière jusqu'au A4",,"Davanti fino al formato A5 /Dietro fino al formato A4",
valeur_2016,"Transfert sérigraphique",,"Stampa serigrafica",
valeur_2017,"Système de rupture sécuritaire",,"Sistema con apertura di sicurezza",
valeur_2018,"Système de boucle amovible",,"Sistema con fibbia removibile",
valeur_2019,"Système de rupture sécuritaire + boucle amovible",,"Sistema con apertura di sicurezza+fibbia removibile",
