,FR,ES,IT,PT,UK
valeur_332,"Rond 4 cm de diamètre","Redondo 4cm de diámetro","Cerchio di 4 cm di diametro","Redondo 4cm de diâmetro","40mm diameter circle"
valeur_333,"Rond 5 cm de diamètre","Redondo 5cm de diámetro","Cerchio di 5 cm di diametro","Redondo 4cm de diâmetro","50mm diameter circle"
valeur_334,"Rond 6 cm de diamètre","Redondo 6cm de diámetro","Cerchio di 6 cm di diametro","Redondo 6cm de diâmetro","60mm diameter circle"
valeur_335,"Rond 7 cm de diamètre","Redondo 7cm de diámetro","Cerchio di 7 cm di diametro","Redondo 7cm de diâmetro","70mm diameter circle"
valeur_336,"Rond 8 cm de diamètre","Redondo 8cm de diámetro","Cerchio di 8 cm di diametro","Redondo 8cm de diâmetro","80mm diameter circle"
valeur_337,"Rond 9 cm de diamètre","Redondo 9cm de diámetro","Cerchio di 9 cm di diametro","Redondo 9cm de diâmetro","90mm diameter circle"
valeur_338,"Rond 10 cm de diamètre","Redondo 10cm de diámetro","Cerchio di 10 cm di diametro","Redondo 10cm de diâmetro","100mm diameter Circle"
valeur_339,"Ovale 8x6 cm","Oval 8*6 cm","Ovale 8x6 cm","Oval 8*6 cm","Oval 80 x 60mm"
valeur_340,"Ovale 8.5x4.5 cm","Oval 8.5*4.5 cm","Ovale 8,5 x 4,5 cm","Oval 8.5*4.5 cm","Oval 85 x 45mm"
valeur_341,"Ovale 9x6 cm","Oval 9*6 cm","Ovale 9 x 6 cm","Oval 9*6 cm","Oval 90x60mm"
valeur_342,"Ovale 10x5.4 cm","Oval 10*5.4 cm","Ovale 10 x 5,4 cm","Oval 10*5.4 cm","Oval 100x54mm "
valeur_343,"Ovale 10x7 cm","Oval 10*7 cm","Ovale 10 x 7 cm","Oval 10*7 cm","Oval 100 x 70mm"
valeur_344,"Ovale 11.4x4.5 cm","Oval 11.4*4.5 cm","Ovale 11,4 x 4,5 cm","Oval 11.4*4.5 cm","Oval 114 x 45mm"
valeur_345,"Ovale 12x8 cm","Oval 12*8 cm","Ovale 12 x 8 cm","Oval 12*8 cm","Oval 120 x 80mm"
valeur_346,"Rectangle avec coins arrondis 2x2.5 cm","Rectángulo con cantos redondeados 2*2.5 cm","Rettangolo con 2 x 2,5 cm ","Rectángulo com cantos arredondados 2*2.5 cm","Round corner rectangle 20 x 25mm "
valeur_347,Sans,Sin,Senza,Sem,No
valeur_348,"Rectangle avec coins arrondis 2.5x6 cm","Rectángulo con cantos redondeados 2.5*6 cm","Rettangolo con angoli arrotondati 2,5 x 6 cm","Rectángulo com cantos arredondados 2.5*6 cm","Round corner rectangle 25 x 60mm"
valeur_349,"Rectangle avec coins arrondis 2.5x17.5 cm","Rectángulo con cantos redondeados 2.5*17.5 cm","Rectangle avec coins arrondis 2.5x17.5 cm","Rectángulo com cantos arredondados 2.5*17.5 cm","Round corner rectangle 25 x 175mm"
valeur_350,"Rectangle avec coins arrondis 2.8x6 cm","Rectángulo con cantos redondeados 2.8*6 cm","Rettangolo con angoli arrotondati 2,8 x 6 cm","Rectángulo com cantos arredondados 2.8*6 cm","Round corner rectangle 28 x 60mm"
valeur_351,"Rectangle avec coins arrondis 3.8x10 cm","Rectángulo con cantos redondeados 32.8*10 cm","Rettangolo con angoli arrotondati 3,8 x 10 cm ","Rectángulo com cantos arredondados 32.8*10 cm","Round corner rectangle 38 x 100mm"
